OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,holc_grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line ,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
1,Polygon,2,1642,IA,Council Bluffs, ,A,A,8401,"{ """" : """" }",0,97.256098,0,0,5.792683,6.736842,72.210526,27.789474,0,100,0,97.052632,2.947368,12.307692,0.037242,0.000051,0
2,Polygon,3,1643,IA,Council Bluffs, ,A,A,8405,"{ """" : """" }",1.4523,93.344553,0.04381,0.05676,0.069924,13.181429,60.722896,39.277102,0,78.508565,21.491433,99.149158,0.850841,1.742785,0.010582,0.000007,0
3,Polygon,2,1644,IA,Council Bluffs, ,A,A,8408,"{ """" : """" }",0.769486,93.078148,0,0.039635,6.626219,19.057647,58.662539,41.337457,0,88.565734,11.434262,94.61327,5.386727,9.191077,0.028435,0.000023,0
4,Polygon,8,1645,IA,Council Bluffs, ,B,B,8404,"{ """" : """" }",0,97.256098,0,0,5.792683,6.736842,72.210526,27.789474,0,100,0,97.052632,2.947368,12.307692,0.281168,0.001006,0
5,Polygon,2,1646,IA,Council Bluffs, ,B,B,8410,"{ """" : """" }",3.650509,95.51167,0.598444,0,21.364452,2.755267,70.178282,29.821718,1.960784,94.117647,5.882353,100,0,100,0.006205,0.000002,1
6,Polygon,3,1647,IA,Council Bluffs, ,B,B,8411,"{ """" : """" }",6.715635,86.56873,6.715635,0,24.134313,4.899135,53.314121,46.685879,0,62.824207,37.175793,90.489914,9.510086,100,0.007998,0.000004,0
7,Polygon,2,1648,IA,Council Bluffs, ,B,B,8413,"{ """" : """" }",2.712567,90.361112,0.398076,0.202073,8.102284,10.98239,64.141293,35.858713,0.023702,85.482588,14.517417,99.881324,0.118682,82.964295,0.096648,0.000207,1
8,Polygon,2,1649,IA,Council Bluffs, ,B,B,8414,"{ """" : """" }",1.043158,90.994994,0.614546,4.999932,5.143847,10.085434,51.413809,48.586196,2.067247,70.468582,29.531423,100.000004,0,91.295136,0.051938,0.000055,1
9,Polygon,3,1650,IA,Council Bluffs, ,B,B,8415,"{ """" : """" }",0.655215,93.590801,1.766671,0,18.884435,14.112541,60.987552,39.012448,6.849661,96.361516,3.638484,100,0,66.145656,0.025121,0.000021,1
10,Polygon,2,1651,IA,Council Bluffs, ,B,B,8418,"{ """" : """" }",0.234274,94.07055,1.11426,0,6.488721,17.434897,72.735605,27.264403,15.90554,77.548023,22.451985,97.528703,2.471305,96.985501,0.028111,0.00004,0
11,Polygon,2,1652,IA,Council Bluffs, ,C,C,8402,"{ """" : """" }",2.038143,94.286907,0.140221,0.709152,8.449627,13.943084,63.692172,36.307821,1.434511,75.880212,24.119781,98.295845,1.704149,72.763399,0.011863,0.000008,0
12,Polygon,4,1653,IA,Council Bluffs, ,C,C,8406,"{ """" : """" }",1.4523,93.344553,0.04381,0.05676,0.069924,13.181429,60.722896,39.277102,0,78.508565,21.491433,99.149158,0.850841,1.742785,0.033423,0.000025,0
