OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,HOLC Grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
43,Polygon,1,42,AL,Birmingham,East Irondale Heights (outside city limits),D12,D,209,"{ ""1e"" : ""Downward"", ""1c"" : ""N/A"", ""1b"" : ""N/A"", ""4b"" : ""N/A"", ""4a"" : ""N/A"", ""3q"" : ""N/A N/A N/A"", ""3p"" : ""N/A N/A N/A"", ""3o"" : ""N/A 1938 5-10 N/A N/A N/A N/A"", ""5"" : ""About 20 houses in area. This is isolated coal mining community with practically no ut",49.470327,48.972741,0,0.587194,4.608831,5.386673,88.192178,11.80782,4.196725,32.865992,67.134007,99.999999,0,39.359785,0.036182,0.000081,1
62,Polygon,4,61,AL,Mobile, ,A2,A,3929,"{ ""11a"" : ""5 M singles"", ""11b"" : ""Substantial (about 15)"", ""12b"" : ""Ample"", ""12a"" : ""Ample"", ""5g"" : "" Slowly"", ""9c"" : ""Fair"", ""5d"" : ""None "", ""5a"" : ""Executives, business and professional men."", ""2"" : ""Level to elevated. Principal subdivisions known as W",22.533333,64.266667,10.666667,1.2,0,5.18732,14.121037,85.878963,1.507538,93.718593,6.281407,100,0,100,0.007115,0.000003,1
71,Polygon,4,70,AL,Mobile,Silverwood,B5,B,3931,"{ ""5d"" : "" None"", ""5a"" : ""Young business, clerical and professional men"", ""8a"" : ""75"", ""6a"" : ""1-story, 5-7 room singles"", ""5g"" : "" "", ""4"" : ""None"", ""5b"" : ""2-6 M"", ""8b"" : ""100"", ""3"" : ""Good transportation facilities. Near public high school, grammar sch",22.533333,64.266667,10.666667,1.2,0,5.18732,14.121037,85.878963,1.507538,93.718593,6.281407,100,0,100,0.012565,0.000007,1
73,Polygon,2,72,AL,Mobile,Blacklawn,B7,B,3924,"{ ""9b"" : ""1-story 6-room singles"", ""7"" : ""3.5 M 28-'29 100 5 M 5-6 M 30 2.5-4 M 25-35 5.5 M 32-'33 1937 28-'39 91% $40 4-6 M $35-50 35 64% 35-45 88% 75% 100"", ""9a"" : ""Fair"", ""15"" : ""Henry C. Hamilton, Pres., McHugh-Hamilton Realtors, and HOLC contract br",25.078368,72.831762,0,0,2.089864,9.69529,61.77285,38.227145,0,88.976373,11.023621,99.999994,0,79.999995,0.010769,0.000005,1
76,Polygon,12,75,AL,Mobile,"Demouy, Bienville, West End etc.",C2,C,3927,"{ ""14"" : ""Old Folks Home (aged and destitute) located in C-2 on McGill Avenue; it is quiet and nicely kept, hence not detrimental. *Local lenders and insurance companies lend only on restricted basis while FHA makes no distinction. (See next page for con",22.533333,64.266667,10.666667,1.2,0,5.18732,14.121037,85.878963,1.507538,93.718593,6.281407,100,0,100,0.093987,0.00011,1
120,Polygon,1,119,AR,Little Rock, ,B1,B,8534,"{ ""1"" : ""Population 100% white - composed of salaried workers in the middle class. Single family dwellings predominate. Properties from 5 to 20 years of age and on the average well maintained. This section is contiguous to the best residential section of",0,90.183396,0,0.103525,0.148292,0.276292,86.313189,13.686807,0,78.592951,21.407045,99.999996,0,98.935405,0.015932,0.000016,1
150,Polygon,3,149,AZ,Phoenix, ,A1,A,8480,"{ ""1"" : ""This is considered the best and most exclusive residential district in Phoenix. The northern half is known as Encanto and the southern half as Palmcroft. This was the last subdivision created before the depression. Houses therein range in price",0.006222,96.681487,0.000001,0.223892,8.16939,4.551567,72.456033,27.543967,0,92.540129,7.459871,100,0,99.999992,0.031646,0.000062,1
151,Polygon,6,150,AZ,Phoenix, ,A2,A,8479,"{ ""1"" : ""This area closely resembles A-1 as to the grades of security, but is probably not as highly restricted."" }",0.006222,96.681487,0.000001,0.223892,8.16939,4.551567,72.456033,27.543967,0,92.540129,7.459871,100,0,99.999992,0.032809,0.000048,1
152,Polygon,6,151,AZ,Phoenix, ,A3,A,8484,"{ ""1"" : ""This is the oldest of the best residential sections of Phoenix and is still considered among the very best in the city. Within this area are some large and high-priced homes, some ranging in age between twenty-five years and thirty years. Promin",4.563051,79.991445,1.113518,7.314371,14.774794,3.654656,70.236292,29.763719,0.033062,63.905792,36.094218,100.000011,0,62.39875,0.033115,0.000061,1
153,Polygon,6,152,AZ,Phoenix, ,A4,A,8482,"{ ""1"" : ""The eastern portion of this is the newest subdivision in Phoenix now under development. It is known as Country Club Manor. Houses therein range in cost from $7,500 to $40,000. The area is well planned and highly restricted. The two strips on 7th",1.267799,82.728801,7.97033,6.195385,1.473524,5.381761,35.745289,64.254709,0,74.980236,25.019762,99.999998,0,96.985889,0.050653,0.00005,1
