OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,holc_grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line ,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
1,Polygon,4,1128,CT,Hartford, ,A1,A,8420,"{ ""2a"" : ""Executives"", ""3h"" : ""25M-500M  "", ""2g"" : ""silightly  "", ""3n"" : "" Rental     "", ""3k"" : ""  "", ""31"" : ""100"", ""3j"" : ""   No Sales  1937 "", ""0"" : ""Hartfod, Conn"", ""3c"" : ""  10"", ""3g"" : ""  5"", ""3d"" : ""Excellent  "", ""1c"" : ""Distances from center of ci",4.238609,80.102234,0.002953,10.867914,4.720481,4.036519,87.355202,12.644801,0.002927,92.22022,7.779783,99.862728,0.137276,90.689004,0.104075,0.00043,1
2,Polygon,4,1129,CT,Hartford, ,A2,A,8428,"{ ""1d"" : ""60"", ""1c"" : ""Distrance from business section of Hartford"", ""3e"" : ""100  "", ""4b"" : ""Ample"", ""3c"" : "" 8 "", ""1e"" : ""Stable"", ""33"" : """", ""3o"" : "" 80-125     1937"", ""3h"" : ""  12M-30M"", ""3b"" : "" Brick, Stucco & frame "", ""0"" : ""Hartford, Conn"", ""3g"" :",0.945232,91.417801,0,4.396343,4.5421,2.183659,87.406171,12.593828,0,92.608493,7.391506,99.931829,0.06817,89.180977,0.124563,0.000224,1
3,Polygon,5,1130,CT,Hartford, ,A3,A,8426,"{ ""3o"" : ""   Area   "", ""3q"" : ""None  "", ""2a"" : ""Minor Executives and professionals"", ""1d"" : ""70"", ""2g"" : ""  rapidly"", ""2f"" : ""None"", ""1e"" : ""Upward"", ""3e"" : ""100  "", ""3g"" : ""  60"", ""33"" : """", ""1a"" : ""Generally flat land."", ""4b"" : ""Ample"", ""32"" : """", ""3i""",3.197031,88.194705,0.015367,5.092818,7.123873,4.871829,92.006311,7.993709,0.089727,93.084941,6.915079,100.00002,0,93.826502,0.12346,0.000295,1
4,Polygon,5,1131,CT,Hartford, ,A4,A,8423,"{ ""31"" : ""100"", ""1c"" : ""None,"", ""2e"" : ""None"", ""2g"" : ""  rapidly"", ""3e"" : ""  100"", ""3m"" : ""Never A  "", ""2c"" : ""0% "", ""3f"" : "" 100 "", ""4b"" : ""Ample"", ""3n"" : ""   Rental   "", ""4a"" : ""Ample"", ""33"" : """", ""32"" : """", ""2f"" : ""None"", ""3i"" : ""  15M-50M  1935 55 "",",3.197031,88.194705,0.015367,5.092818,7.123873,4.871829,92.006311,7.993709,0.089727,93.084941,6.915079,100.00002,0,93.826502,0.112789,0.000163,1
5,Polygon,5,1132,CT,Hartford, ,A5,A,8422,"{ ""3l"" : ""  "", ""33"" : """", ""3a"" : ""  "", ""0"" : ""Hartford, Conn."", ""2d"" : "" "", ""1c"" : """", ""1d"" : """", ""1e"" : """", ""3i"" : ""      "", ""3m"" : ""  "", ""3b"" : ""  "", ""3h"" : ""  "", ""2a"" : """", ""2e"" : """", ""2f"" : """", ""2b"" : """", ""1b"" : """", ""3g"" : ""  "", ""3n"" : ""      "", ""2g""",4.238609,80.102234,0.002953,10.867914,4.720481,4.036519,87.355202,12.644801,0.002927,92.22022,7.779783,99.862728,0.137276,90.689004,0.188859,0.001024,1
6,Polygon,5,1133,CT,Hartford, ,A6,A,8425,"{ ""3c"" : ""  "", ""0"" : ""Hartford, Conn"", ""1b"" : """", ""3j"" : ""      "", ""3d"" : ""  "", ""3k"" : ""  "", ""2b"" : """", ""3i"" : ""      "", ""3a"" : ""  "", ""2a"" : """", ""33"" : """", ""3f"" : ""  "", ""4b"" : ""Ample"", ""1a"" : ""Wooded land rising from the river"", ""2e"" : """", ""1c"" : """", ""2g",2.252754,92.29504,0.001865,3.60761,0.978188,0.970678,94.395065,5.604934,0,98.791586,1.208412,99.81493,0.185068,73.113548,0.037557,0.000063,1
7,Polygon,5,1134,CT,Hartford, ,A7,A,8424,"{ ""2g"" : ""Slightly  "", ""3g"" : "" 5 "", ""3q"" : "" None "", ""3a"" : "" Large singles "", ""1b"" : ""Accessibility as wella s attractiveness of location and its improvements."", ""3c"" : "" 15 "", ""1a"" : ""Generally wooded land rising quite sharply from the river and with",2.252754,92.29504,0.001865,3.60761,0.978188,0.970678,94.395065,5.604934,0,98.791586,1.208412,99.81493,0.185068,73.113548,0.057746,0.000119,1
8,Polygon,1,1135,CT,Hartford, ,A8,A,6420,"{ ""3m"" : ""  Not A"", ""2g"" : "" Slowly "", ""2f"" : ""None"", ""2e"" : ""None"", ""6"" : ""First East Hartford, Conn A-8"", ""31"" : ""100%"", ""32"" : """", ""33"" : """", ""2d"" : ""0 no"", ""3a"" : ""  8/9 rm sgls"", ""2c"" : ""0% "", ""3b"" : "" Frame, brick & stone "", ""3c"" : ""  5"", ""5"" : ""A",4.53844,79.63039,2.920388,5.412489,23.386056,3.400405,99.272566,0.727434,0,88.820871,11.179129,100,0,85.795156,0.022002,0.000025,1
9,Polygon,5,1136,CT,Hartford, ,B1,B,8427,"{ ""2g"" : "" rapidly "", ""32"" : ""10"", ""3j"" : ""70 1937 9M-16M   85% 10M-12M"", ""0"" : ""Hartford, Conn"", ""2d"" : ""0 No"", ""3i"" : ""1935 8.5M-14M 80% 10M-12M 70  "", ""1b"" : ""Convenient to small centrally located shopping center."", ""3c"" : "" 10 10"", ""3f"" : "" 95 95"", """,4.238609,80.102234,0.002953,10.867914,4.720481,4.036519,87.355202,12.644801,0.002927,92.22022,7.779783,99.862728,0.137276,90.689004,0.065592,0.000177,1
10,Polygon,9,1137,CT,Hartford, ,B2,B,8429,"{ ""2b"" : ""2,500 and up"", ""1c"" : ""None"", ""3b"" : ""Frame  Frame and stucco"", ""32"" : ""50"", ""2e"" : ""None"", ""2a"" : ""White collar"", ""1b"" : ""Attractive location and convenient to serveral,small, local shopping centers."", ""3i"" : ""10M-12M 1935  65 7.5M-20M 70% "",",0.945232,91.417801,0,4.396343,4.5421,2.183659,87.406171,12.593828,0,92.608493,7.391506,99.931829,0.06817,89.180977,0.09798,0.000276,1
