OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,holc_grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line ,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
1,Polygon,3,0,AL,Birmingham,Mountain Brook Estates and Country Club Gardens (outside city limits),A1,A,244,"{ ""1c"" : ""Residents of area required to pay moderate school tuition if students attend city schools (usually pertains only to high school students). Bus transportation available only to north edge."", ""1b"" : ""Highly restricted. Near two high grade country",0.352055,98.527653,0.128494,0.741332,0.289672,8.470618,96.058154,3.941842,0.991895,79.899991,20.100005,99.626153,0.373844,69.030209,0.177006,0.000461,0
2,Polygon,8,1,AL,Birmingham,"Redmont Park, Rockridge Park, Warwick Manor, and southern portion of Milner Heights",A2,A,193,"{ ""3n"" : ""1936 No rentals 55 No rentals N/A 50-100 N/A"", ""3j"" : ""N/A 10000-30000 61 10000-27500 1938 No sales N/A"", ""3g"" : ""None None 18 (1000-3000)"", ""1d"" : ""65%"", ""3m"" : ""No rentals 25-200 No rentals"", ""3c"" : ""2 15 15"", ""3l"" : ""None Fair Fair"", ""3k"" :",3.679787,90.55424,0.001801,3.66688,1.92387,6.441976,63.62713,36.372871,0.102075,66.735136,33.264865,98.066018,1.933983,77.801814,0.102438,0.000259,0
3,Polygon,4,2,AL,Birmingham,"Colonial Hills, Pine Crest (outside city limits)",A3,A,206,"{ ""2c"" : ""N/A None"", ""6"" : ""A Colonial Hills, Pince Crest (outside city limits) 3"", ""4b"" : ""Ample on conservative basis"", ""2g"" : ""Moderately N/A N/A"", ""3e"" : ""98 90 N/A"", ""32"" : ""25"", ""31"" : ""75"", ""5"" : ""Generally speaking, houses are not built in this a",0.352055,98.527653,0.128494,0.741332,0.289672,8.470618,96.058154,3.941842,0.991895,79.899991,20.100005,99.626153,0.373844,69.030209,0.050928,0.00012,0
4,Polygon,4,3,AL,Birmingham,"Grove Park, Hollywood, Mayfair, and Edgewood sections of Home-wood, Alabama (an incorporated community)",B1,B,203,"{ ""1c"" : ""Tuberculosis sanitation is not visible from area and is located at a distance sufficient to not adversely affect the area."", ""3e"" : ""95 95 95"", ""1d"" : ""35"", ""4a"" : ""N/A"", ""2c"" : ""None N/A"", ""3j"" : ""69 3000-9500 69 1938 4500-13500 7000-13500 N/A",4.871017,90.925835,0.134841,1.642226,1.750508,6.013846,80.616254,19.383735,0,70.962629,29.037361,99.99462,0.00537,71.105036,0.150288,0.00044,1
5,Polygon,2,4,AL,Birmingham,Best section of Woodlawn Highlands,B10,B,189,"{ ""5"" : ""Both sales and rental prices in 1929 were off about 20% from the 1926-38 peak. Location of property within this area justifies policy of selling rather than holding for possible price increases."", ""4b"" : ""Ample on conservative basis"", ""31"" : ""98",1.496422,90.566038,0,6.571243,4.359141,2.208202,87.85489,12.14511,1.699717,88.385269,11.614731,96.600567,3.399433,36.842105,0.018744,0.000015,0
6,Polygon,2,5,AL,Birmingham,College Hills,B11,B,219,"{ ""4b"" : ""Ample on conservative basis"", ""6"" : ""11 B College Hills"", ""2b"" : ""2500-7500"", ""4a"" : ""Ample on conservative basis"", ""32"" : ""5"", ""31"" : ""95"", ""2a"" : ""Business and professional men, clerical & steel workers"", ""1d"" : ""65"", ""3q"" : ""N/A Good Good"",",92.450932,5.53278,0,0.007036,1.941217,13.898266,58.708863,41.291143,0,99.865923,0.134083,94.110296,5.88971,29.237904,0.025274,0.000044,0
7,Polygon,5,6,AL,Birmingham,Fairfield Highlands,B12,B,227,"{ ""2a"" : ""Business men, steel company executives and department heads, and steel workers"", ""4a"" : ""Limited on conservative basis"", ""2e"" : ""None"", ""2c"" : ""N/A None"", ""3h"" : ""N/A No sales 6500-12500"", ""3j"" : ""1938 5000-6500 N/A N/A N/A 5000-6500 65"", ""2b""",94.140076,3.516193,0,0,1.856071,35.398983,44.146592,55.853399,1.91783,94.239226,5.760765,96.378102,3.621889,21.030262,0.055047,0.000074,0
8,Polygon,3,7,AL,Birmingham,Red Acres,B13,B,202,"{ ""33"" : ""N/A"", ""5"" : ""About 20 hours in this area."", ""3e"" : ""Good N/A N/A"", ""3g"" : ""50 N/A N/A"", ""2g"" : ""N/A Yes N/A"", ""32"" : ""N/A"", ""3h"" : ""N/A 6250-8000 N/A"", ""1a"" : ""Rolling on side of Red Mountain"", ""3d"" : ""N/A N/A 12"", ""2f"" : ""None"", ""2e"" : ""None"",",9.043831,77.087128,0.007557,9.696063,9.630943,7.862906,50.677347,49.322663,0.680765,75.034886,24.965124,98.87667,1.12334,94.996198,0.033758,0.000042,0
9,Polygon,2,8,AL,Birmingham,Roebuck Springs (outside of city limits of Birmingham),B14,B,187,"{ ""1d"" : ""15"", ""1a"" : ""Level to rolling and hilly"", ""1b"" : ""Large lots. Moderately restricted. Distance from smoke and dirt of industrial plants."", ""3g"" : ""None None 3 ($6000-10000)"", ""3f"" : ""100 75 75"", ""3e"" : ""100 90 90"", ""3d"" : ""Excellent Fair Fair"",",42.490794,50.513045,0,0.924283,5.007323,25.325294,66.853544,33.146455,0.37263,90.146242,9.853757,98.472727,1.527273,54.890455,0.059009,0.00016,0
10,Polygon,5,9,AL,Birmingham,Better part of Crestline Heights (outside of city limits),B15,B,194,"{ ""3l"" : ""N/A Fair N/A"", ""3f"" : ""N/A 85 N/A"", ""3q"" : ""N/A Good N/A"", ""2d"" : ""None N/A"", ""3p"" : ""N/A Good N/A"", ""3h"" : ""N/A N/A 5000-8000"", ""2c"" : ""None N/A"", ""2b"" : ""1200-3000"", ""1c"" : ""Unrestricted. No streets paved. Septic tanks."", ""3c"" : ""N/A 10-15 N/",3.679787,90.55424,0.001801,3.66688,1.92387,6.441976,63.62713,36.372871,0.102075,66.735136,33.264865,98.066018,1.933983,77.801814,0.016529,0.000014,0
