OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,holc_grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line ,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
1,Polygon,3,149,AZ,Phoenix, ,A1,A,8480,"{ ""1"" : ""This is considered the best and most exclusive residential district in Phoenix. The northern half is known as Encanto and the southern half as Palmcroft. This was the last subdivision created before the depression. Houses therein range in price",0.006222,96.681487,0.000001,0.223892,8.16939,4.551567,72.456033,27.543967,0,92.540129,7.459871,100,0,99.999992,0.031646,0.000062,1
2,Polygon,6,150,AZ,Phoenix, ,A2,A,8479,"{ ""1"" : ""This area closely resembles A-1 as to the grades of security, but is probably not as highly restricted."" }",0.006222,96.681487,0.000001,0.223892,8.16939,4.551567,72.456033,27.543967,0,92.540129,7.459871,100,0,99.999992,0.032809,0.000048,1
3,Polygon,6,151,AZ,Phoenix, ,A3,A,8484,"{ ""1"" : ""This is the oldest of the best residential sections of Phoenix and is still considered among the very best in the city. Within this area are some large and high-priced homes, some ranging in age between twenty-five years and thirty years. Promin",4.563051,79.991445,1.113518,7.314371,14.774794,3.654656,70.236292,29.763719,0.033062,63.905792,36.094218,100.000011,0,62.39875,0.033115,0.000061,1
4,Polygon,6,152,AZ,Phoenix, ,A4,A,8482,"{ ""1"" : ""The eastern portion of this is the newest subdivision in Phoenix now under development. It is known as Country Club Manor. Houses therein range in cost from $7,500 to $40,000. The area is well planned and highly restricted. The two strips on 7th",1.267799,82.728801,7.97033,6.195385,1.473524,5.381761,35.745289,64.254709,0,74.980236,25.019762,99.999998,0,96.985889,0.050653,0.00005,1
5,Polygon,3,153,AZ,Phoenix, ,A5,A,8477,"{ ""1"" : ""This small area compares favorably with the Country. Club section across the street to the east. Within it there is room for some development, all of which will be in the very best type of construction."" }",1.267799,82.728801,7.97033,6.195385,1.473524,5.381761,35.745289,64.254709,0,74.980236,25.019762,99.999998,0,96.985889,0.015815,0.000015,1
6,Polygon,4,154,AZ,Phoenix, ,B1,B,8481,"{ ""1"" : ""This is the newest and best moderately priced residential section of Phoenix, and within it there has been considerable new construction during the last few months. The area is less than fifteen years old and is occupied by modest business and p",0.006222,96.681487,0.000001,0.223892,8.16939,4.551567,72.456033,27.543967,0,92.540129,7.459871,100,0,99.999992,0.058447,0.000121,1
7,Polygon,4,155,AZ,Phoenix, ,B2,B,8478,"{ ""1"" : ""That portion of this area lying within the city limits contains some very fine homes averaging $6,000 in price. Without the city limits the construction is cheaper. This is a substantial residential section occupied by a good class of citizenry.",4.563051,79.991445,1.113518,7.314371,14.774794,3.654656,70.236292,29.763719,0.033062,63.905792,36.094218,100.000011,0,62.39875,0.028094,0.000041,1
8,Polygon,8,156,AZ,Phoenix, ,B3,B,8476,"{ ""1"" : ""This area is entirely outside the city limits, but is in line with the trend of development. The security is not as costly as that of B-1 and B-2, ranging in price from $2,000 to $7,000. Lack of city restrictions in this area is perhaps countera",3.219639,77.119201,0,4.922724,17.184445,26.489013,51.412113,48.587888,0,67.677727,32.322273,100.000001,0,100.000001,0.06363,0.000118,1
9,Polygon,6,157,AZ,Phoenix, ,B4,B,8487,"{ ""1"" : ""This is a very substantial section wherein the houses are from ten to fifteen years old and the average price range is $3,250. The area has advantages as to school and mercantile facilities, being reasonably close to the business district; also",3.219639,77.119201,0,4.922724,17.184445,26.489013,51.412113,48.587888,0,67.677727,32.322273,100.000001,0,100.000001,0.041855,0.000084,1
10,Polygon,7,158,AZ,Phoenix, ,B5,B,8488,"{ ""1"" : ""This is a well located, moderately priced subdivision, occupied by tradesmen and modest business and professional people. Much of the security therein was built for speculative purposes. The western portion of it was built up twenty years ago, w",0.312361,76.431804,0.016516,1.387198,30.560652,18.583013,39.05242,60.947585,0.018443,83.560505,16.439499,100.000004,0,50.886731,0.063513,0.000172,1
